Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Mirador de San Nicolás,Gimnasio al aire libre de mirador San Nicolás,Cl. 52c #5814,6.66159516,75.75375675,POINT (6.66159516 75.75375675)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Mirador de San Nicolás,Placa polideportiva mirador,Cl. 52c #5814,6.66159516,75.75375675,POINT (6.66159516 75.75375675)
Parques infantiles,Comuna 1 Liborio Mejía,Barrio,Quebrada Arriba,parque infantil Quebrada Arriba,Cra. 59 #51-21 a 51-1,6.66158757,75.75377578,POINT (6.66158757 75.75377578)
Cancha de fútbol sintética,Comuna 1 Liborio Mejía,Barrio,Cancha Quebrada Arriba,Cancha de fútbol Quebrada Arriba,Cl. 52 #58a-56 a 58a-102,6.66158545,75.75377277,POINT (6.66158545 75.75377277)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Quebrada Arriba,Gimnasio al aire libre Quebrada arriba,Cl. 52 #58a-56 a 58a-102,6.66158545,75.75377277,POINT (6.66158545 75.75377277)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Quebrada Arriba,Placa polideportiva Quebrada Arriba,Cl. 52 #60a-35 a 60a-1,6.66160376,75.75378329,POINT (6.66160376 75.75378329)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,La inmaculada,Placa polideportiva la inmaculada,Cra. 60b #50-20 a 50-26,6.66158153,75.75380498,POINT (6.66158153 75.75380498)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,La inmaculada,Gimansio al aire libre la inmaculada,Cra. 60b #50-20 a 50-26,6.66158153,75.75380498,POINT (6.66158153 75.75380498)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Alto del medio,Gimansio al aire libre alto del medio,Cl. 51 #59-263 a 59-91,6.66156366,75.75377669,POINT (6.66156366 75.75377669)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Alto del medio,Placa polideportiva alto del medio,Cra. 54 #5022,6.66154818,75.75375724,POINT (6.66154818 75.75375724)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,La esperanza,gimnasio al aire libre la esperanza,Cl. 48b #57aa-35 a 57aa-,6.66154386,75.75378708,POINT (6.66154386 75.75378708)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,La esperanza,placa polideportiva la esperanza,Cl. 48b #57aa-35 a 57aa-,6.66154386,75.75378708,POINT (6.66154386 75.75378708)
Parques infantiles,Comuna 1 Liborio Mejía,Barrio,La esperanza,parque infantil la esperanza,Cl. 48b #57aa-35 a 57aa-,6.66154386,75.75378708,POINT (6.66154386 75.75378708)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,El hoyo,gimnasio al aire libre el hoyo,Cl. 46 #54-96 a 54-116,6.66151124,75.75377885,POINT (6.66151124 75.75377885)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,El hoyo,placa polideportiva el hoyo,Cl. 46 #54-96 a 54-116,6.66151124,75.75377885,POINT (6.66151124 75.75377885)
Parques infantiles,Comuna 1 Liborio Mejía,Barrio,El hoyo,parque infantil el hoyo,Cl. 46 #54-96 a 54-116,6.66151124,75.75377885,POINT (6.66151124 75.75377885)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Santa Teresa,Gimansio al aire libre santa teresa,Cra. 69 #47a-31 a 47a-1,6.6615165,75.75388565,POINT (6.6615165 75.75388565)
